Term,Description
Retirement Benefits,"Retirement plans are classified as either defined benefit or defined contribution plans. Defined benefit plans determine payments according to a fixed formula based on salary, years of service, and age. Defined contribution plans determine the value of individual accounts on the basis of the amount of money contributed and the rate of return on the money invested."
Defined benefit plans,"Defined benefit pension plans provide employees with guaranteed retirement benefits based on benefit formulas. A participant's retirement age, length of service, and preretirement earnings may affect the benefits received. Definitions, key provisions, and related terms follow."
Terminal-earnings formulas ,"Benefits are based on a percentage of average earnings during a specified number of years at the end of a worker's career (or when earnings are highest), multiplied by the number of years of service recognized by the plan."
Career earnings formulas ,Benefits are based on a percentage of an average of career earnings for every year of service recognized by the plan.
Dollar amount formulas ,Benefits are based on a dollar amount per month for each year of service recognized by the plan.
Percentage-of-contribution formulas ,"Benefits are based on employer and, occasionally, employee contributions. Benefits equal a percentage of total contributions."
Cash balance plans ,"Benefits are computed as a percentage of each employee's account balance. Employers specify a contribution, and a rate of interest on that contribution, that will provide a set amount at retirement, generally as a lump sum."
Pension equity plans ,"For each year of work, employees are credited with a percentage applied to their final average earnings. Benefits are generally disbursed as a lump sum."
Frozen retirement plans,Frozen retirement plans are benefit plans that typically are closed to new enrollees and that may limit future benefit accruals for some or all active plan participants. These plans may be of different types. Some may no longer allow participants to accrue additional benefits. Others may change the plan's prospective benefit formula in such a way as to limit future benefit accruals. Other may use a prospective benefit formula to limit or cease accruals of benefits for some of the active participants.
Normal retirement,Normal retirement is the age at which plan participants may retire and receive all accrued benefits.
Early retirement,"Early retirement is the age (or a combination of age and service) at which plan participants may retire and receive all accrued benefits, minus a reduction for the number of years by which their retirement age precedes their normal retirement age."
Benefit payment methods,"Payments from defined benefit plans may be in the form of a straight life annuity, a joint-and-survivor annuity, a percentage of the unreduced accrued benefit, or a lump sum."
Straight life annuity ,"A periodic payment made for the life of the retiree, with no additional payments to survivors."
Joint-and-survivor annuity ,"The Employee Retirement Income Security Act of 1974 (ERISA) requires defined benefit pension plans that offer an annuity as a payment option to provide a qualified joint-and-survivor annuity (QJSA) as the normal benefit payment for married participants. A QJSA is an immediate annuity for the life of the participant and a survivor annuity for the life of the participant's spouse. The amount of the survivor annuity may not be less than 50 percent, or more than 100 percent, of the amount payable during the time the participant and spouse are both alive. The annuity payable for the life of the participant is lower than that for a straight life annuity; to account for the increased length of time over which payments will be made, this reduction may be a percentage of the straight life benefit, such as 10 percent, or may be based on the life expectancy of the participant and spouse."
Percentage of unreduced accrued benefit ,"Under this method, the participant's pension is not reduced to adjust for survivor benefits. The participant will receive an amount equal to the straight life annuity, and the spouse will receive a proportion of that amount, often 50 percent, should the participant die."
Lump-sum payment ,"The participant may opt for a full lump sum, with no further benefits received from the plan. If a plan provides for a partial lump-sum payment, the participant will receive a reduced annuity as well."
Vesting,"Vesting refers to the amount of time a participant must work before earning a nonforfeitable right to a retirement benefit. Once the participant is vested, the accrued benefit is retained even if the worker leaves the employer before reaching retirement age."
Cliff vesting ,"No vesting occurs until an employee satisfies the service requirements for 100-percent vesting-for example, 5 years."
Graded vesting ,"An employee's nonforfeitable percentage of employer contributions increases over time, until reaching 100 percent."
Integration with Social Security,"Defined benefit plans may integrate retirement benefits with Social Security benefits. Under this approach, the employer's contribution to Social Security (FICA taxes) is taken into account when plan benefits are computed. Integration may be accomplished by an offset or a step-rate method."
Offset ,Part of a participant's Social Security benefit is subtracted from the benefit otherwise payable by the plan. The maximum allowable offset is 83.3 percent of the Social Security benefit. The most common offset is 50 percent.
Step rate ,"Lower benefit rates are applied to earnings up to the specified taxable Social Security wage base (that is, the earnings subject to Social Security tax); higher benefit rates are applied to earnings above the wage base"
Portability,"Portability is a participant's ability to maintain and transfer accumulated pension benefits when changing jobs. Portability provisions in defined benefit plans generally cover portability of assets, portability of credited service, or both."
Portability of assets ,Participants can withdraw their accumulated pension benefits or transfer them to another retirement arrangement.
Portability of credited service ,Participants are allowed to count the years of service with a previous employer when determining benefits from their current employer.
Disability retirement,Disability retirement is retirement resulting from a totally disabling injury or illness prior to eligibility for early or normal retirement. Plans providing disability retirement benefits may have a service requirement of 10 years or more. Benefits may be immediate or deferred.
Defined contribution plans,Defined contribution plans are retirement plans that specify the level of employer contributions and place those contributions into individual employee accounts.
Savings and thrift plans ,"Employees may contribute a predetermined portion of earnings (usually pretax)-all or part of which the employer matches-to an individual account. Employers may match a fixed percentage of employee contributions or a percentage that varies by length of service, the amount of employee contribution, or other factors. Contributions are invested as directed by the employee or employer. Although usually designed as a long-term savings vehicle, savings and thrift plans may allow withdrawals and loans before retirement."
